Designer;Serie;Type;Codename;Year Released;Function;Width of Machine Word;Supported Instruction Set(s);Type of processor core(s);Number of processor core(s);Memory Interface(s);Max. Clock Frequency of Memory IF;Data Bus Width;Address Bus Width;Number of data bus channels;Non-volatile Memory Data Bus Width;Non-volatile Memory Interface;DMA Channels;Recommended Minimum Clock Frequency;Recommended Maximum Clock Frequency;Max. Data Rate;L1 Instruction Cache per Core;L0 Instruction Cache per Core;Number of L1 Cache Ways;L1 Data Cache per Core;Number of L2 Cache Ways;Total L2 Cache;Total L3 Cache;Internal Systembus Clock;Pipeline Stages;Instruction Execution Performance;Feature Size;Semiconductor Technology;Number of Transistors Integrated;Pins;Fab;Embedded GPU;Number of GPU cores;GPU Clock;Dedicated Graphics Memory;Supported Cellular Data Links;Supported USB Specification;Bluetooth support;Wireless LAN support;NFC support;Supported Audio/Video Interface;Supported GPS protocol(s);Supported Galileo service(s);Supported GLONASS protocol(s);Supported BeiDou system (BDS);Special Features;;
Texas Instruments;OMAP;OMAP 3503;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;mobile (LP) DDR SDRAM;;32 bit;;1 ch;16 bit;NAND Flash Interface , NOR Flash Interface , OneNAND;32 ch;;600 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;256 Kbyte L2;;;13 pipeline stages;;65 nm;CMOS;;515 pins;Texas Instruments;N/A;;;;No;No;No;No;;No;No;;;;NEON SIMD Coprocessor, 64-Ch EDMA, 32-Ch sDMA controller, OneNAND, asynchs SRAM support, Embedded image signal processor, 112Kbyte ROM, 64Kbyte SRAM, ARM TrustZone, Composite and S-video TV output, SmartReflex Technology, High Speed USB 2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3610;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;720 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;45 nm;CMOS;;515 pins;Texas Instruments;N/A;;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2), SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3620;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;32 bit;Yes;;;720 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;45 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3640;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;32 bit;Yes;;;1000 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;45 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2+), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3630;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;720 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;45 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2+), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB2.0 On-The-Go support;;
ZiiLABS;;ZMS-08;;2009;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;SDRAM , DDR SDRAM , mobile (LP) DDR SDRAM , DDR2 SDRAM;;64 bit;;1 ch;32 bit;NAND Flash Interface , NOR Flash Interface;;;1000 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;256 Kbyte L2;;;13 pipeline stages;;;CMOS;;434 pins;;N/A;;;;No;No;No;No;;No;No;;;;SIMD Media Processing Array (64 Precessing elements), Xtreme Fidelity X-Fi Audio Processing, Dual USB 2.0, Dual USB 2.0 OTG controllers with on-chip PHY and ULPI interfaces, Three SD/SDIO/MMC/CE-ATA controllers, Dual high fidelity digital audio ports, I2S/PCM, I2C, 5 UARTs, 113 GPIOs, Hi-Speed Serial Input, Flexible General Interface Bus, PLLs, OpenGL ES 1.1 and 2.0 3D graphics, Four Independent, Bi-directional HD Capable Video Ports, Connect to LCDs up to 24-bit, Connect to Multiple High Resolution Cameras, Integrated Analog HD TV encoder, Intergrated HDMI transmitter;;
ZiiLABS;;ZMS-05;;2009;Multi-core Application Processor;32 bit;ARMv5TEJ;ARM926EJ-S;1;SDRAM , DDR SDRAM , mobile (LP) DDR SDRAM , DDR2 SDRAM;;64 bit;;1 ch;32 bit;NAND Flash Interface , NOR Flash Interface;;;666 MHz max.;;;;;16 Kbyte D-Cache;;;;;;;;CMOS;;;;N/A;;;;No;No;No;No;;No;No;;;;Dual ARM926EJ-S cores, SIMD Media Processing Array (24 Precessing elements), USB 2.0 OTG, TV encoder, three independent video I/O ports, three SDIO/MMC, I2C, I2S, UARTs, GPIOs, Hi-speed serial, SPDIF, IDE, Ethernet, PLLs and RTC, 2D graphics acceleration, Powerful floating-point 3D graphics, Supports OpenGL ES 1.1 / 2.0;;
Ingenic;;Jz4740;;2008;Application Processor;32 bit;MIPS32;MIPS XBurst;1;SDRAM;;;;1 ch;;NAND Flash Interface;;360 MHz min.;400 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;180 nm;CMOS;;;;N/A;;;;No;No;No;No;;No;No;;;;AHB bus, 8 ch. DMC, Multimedia accelerator, LCD Controller, MMC/SD/SDIO controller, 4MP camera interface, 802.3 compliant Ethernet interface;;
Ingenic;;Jz4730;;2008;Application Processor;32 bit;MIPS32;MIPS XBurst;1;SDRAM;;;;1 ch;;NAND Flash Interface;;;336 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;180 nm;CMOS;;;;N/A;;;;No;No;No;No;;No;No;;;;AHB bus, 8 ch. DMC, Multimedia accelerator, LCD Controller, MMC/SD/SDIO controller, 4MP camera interface, smart card controller, 802.3 compliant Ethernet interface, PC card interface ( PCMCIA, CompactFlash);;
Ingenic;;Jz4720;;2008;Application Processor;32 bit;MIPS32;MIPS XBurst;1;SDRAM;;;;1 ch;;NAND Flash Interface;;;240 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;180 nm;CMOS;;;;N/A;;;;No;No;No;No;;No;No;;;;AHB bus, 6 ch. DMC, Multimedia accelerator, LCD Controller, MMC/SD/SDIO controller;;
Intel;Atom;Atom 1st Gen Z530;;2008;Application Processor;32 bit;IA-32 (x86), MMX, SSE2, SSE3, SSSE3;Intel Atom;1;Yes;;32 bit;;1 ch;;Yes;;;1600 MHz max.;;32 Kbyte I-Cache;;;24 Kbyte D-Cache;;512 Kbyte L2;;;;;45 nm;CMOS;47000000;411 pins;Intel;Intel GMA500 GPU;;;;No;No;No;No;;No;Yes;;;;Intel Hyper-Threading technology, Intel Graphics Media Accelerator (GMA500), Intel Virtualization Technology, Enhanced Intel SpeedStep Technology, Intel Demand Based Switching;;
Marvell;;PXA930;Tavor-MG1;2008;Application Processor with Modem;32 bit;ARM;Marvell Sheeva;1;Yes;;32 bit;;1 ch;;Yes;;624 MHz min.;1000 MHz max.;;;;;;;;;;;;65 nm;CMOS;;;;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSDPA (Cat. unspecified) data links;No;No;No;;No;No;;;;Embedded GSM/GPRS baseband processor (850/900/1800/1900MHz), embedded UMTS/HSDPA baseband processor (2100MHz);;
NVIDIA;Tegra;Tegra APX 2600;;2008;Application Processor;32 bit;ARMv6K;ARM11 MPCore;1;DDR SDRAM;;32 bit;;1 ch;;NAND Flash Interface;;;600 MHz max.;;;;;;;;;;8 pipeline stages;;;CMOS;;;TSMC;N/A;;;;No;No;No;No;;No;No;;;;Enhanced NAND Flash support, High Definition Audio Video Processor (720p H.264 Baseline Profile Encode or Decode, 720p VC-1/WMV9 Simple & Main Profiles Decode, D1 MPEG-4 Simple Profile Encode or Decode), integrated NVIDIA GPU (OpenGL ES 2.0, Programmable pixel shader, Programmable vertex and lighting, Advanced 3D/2D graphics), Up to 12 megapixel camera support, Composite and S-Video TV output, integrated peripherals (USB 2.0 OTG, USB 2.0 ULPI, HDMI, MIPI CSI/DSI/HSI, UART, SPI, SDIO, I2C, I2S);;
NVIDIA;Tegra;Tegra APX 2500;;2008;Application Processor;32 bit;ARMv6K;ARM11 MPCore;1;DDR SDRAM;;32 bit;;1 ch;;NAND Flash Interface;;;600 MHz max.;;;;;;;;;;8 pipeline stages;;;CMOS;;;TSMC;N/A;;;;No;No;No;No;;No;No;;;;High Definition Audio Video Processor (720p H.264 Baseline Profile Encode or Decode, 720p VC-1/WMV9 Simple & Main Profiles Decode, D1 MPEG-4 Simple Profile Encode or Decode), integrated NVIDIA GPU (OpenGL ES 2.0, Programmable pixel shader, Programmable vertex and lighting, Advanced 3D/2D graphics), Up to 12 megapixel camera support, Composite and S-Video TV output, integrated peripherals ( USB 2.0 OTG, HDMI, MIPI CSI/DSI/HSI, UART, SPI, SDIO, I2C, I2S);;
NVIDIA;Tegra;Tegra 650;;2008;Application Processor;32 bit;ARMv6K;ARM11 MPCore;1;DDR SDRAM;;32 bit;;1 ch;;NAND Flash Interface;;;750 MHz max.;;;;;;;;;;8 pipeline stages;;;CMOS;;;TSMC;N/A;;;;No;No;No;No;;No;No;;;;integrated NVIDIA GPU (OpenGL ES 2.0, Programmable pixel shader, Programmable vertex and lighting, Advanced 3D/2D graphics), 1080p H.264 and VC-1 AP decode, 720p H.264 encode, Up to 12 megapixel camera sensor support, NTSC/PAL TV output;;
NVIDIA;Tegra;Tegra 600;;2008;Application Processor;32 bit;ARMv6K;ARM11 MPCore;1;DDR SDRAM;;32 bit;;1 ch;;NAND Flash Interface;;;650 MHz max.;;;;;;;;;;8 pipeline stages;;;CMOS;;;TSMC;N/A;;;;No;No;No;No;;No;No;;;;integrated NVIDIA GPU (OpenGL ES 2.0, Programmable pixel shader, Programmable vertex and lighting, Advanced 3D/2D graphics), 720p H.264 and VC-1 AP decode, 720p H.264 encode, Up to 12 megapixel camera sensor support, NTSC/PAL TV output;;
Qualcomm;ESM;ESM7225;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;mobile (LP) DDR SDRAM;;32 bit;;1 ch;;Yes;;;528 MHz max.;;;;;;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;Qualcomm Adreno 200 enhanced GPU;1-core GPU;;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE Multi-slot Class 12 data links;No;No;No;;No;Yes;;;;Embedded Hexagon QDSP5000 DSP, GSM, GPRS/EGPRS Multislot Class 12 baseband support, ARM TrustZone technology, embedded gpsOne Gen 7 GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone, 5 MP camera support, HVGA (480x320) display support, VGA (640x480) video decode, software rendered 2D support;;
Qualcomm;Snapdragon;Snapdragon S1 QSD8650;;2008;Application Processor with Modem;32 bit;ARMv7;Qualcomm Scorpion;1;Yes;;32 bit;;1 ch;;Yes;;;1000 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;256 Kbyte L2;;;13 pipeline stages;;65 nm;CMOS;;;TSMC;Qualcomm Adreno 200 GPU;1-core GPU;133 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision B data links;No;No;No;;No;Yes;;;;Hexagon QDSP6 600MHz, GSM, GPRS, EDGE, UMTS/WCDMA, HSDPA, HSUPA, MBMS, CDMA2000 1xRTT, CDMA2000 1xEV-DO, CDMA2000 1xEV-DO Rev. 1, CDMA2000 1xEV-DO Rev. B, baseband, Embedded Gen 7 gpsOne GPS module, gpsOneXTRA Assistance, OpenGL ES 2.0, OpenGL ES 1.1, OpenVG 1.1, EGL 1.3, Direct3D Mobile, SVGT 1.2, DirectDraw, 720p video encode;;
Qualcomm;MSM;MSM7525;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;N/A;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;N/A;;;;CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;No;No;;No;Yes;;;;ARM TrustZone technology, Embedded QDSP5000 DSP (CDMA2000 1X Rel. 0 / Rev. A, CDMA2000 1xEV-DO Rel. 0 / Rev. A), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone;;
Qualcomm;Snapdragon;Snapdragon S1 QSD8250;;2008;Application Processor with Modem;32 bit;ARMv7;Qualcomm Scorpion;1;Yes;;32 bit;;1 ch;;Yes;;;1024 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;256 Kbyte L2;;;13 pipeline stages;;65 nm;CMOS;;;TSMC;Qualcomm Adreno 200 GPU;1-core GPU;133 MHz GPU;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) data links;No;No;No;;No;Yes;;;;Embedded 600MHz DSP (GSM, GPRS, EDGE, UMTS/WCDMA, HSDPA, HSUPA, MBMS baseband), Embedded Seventh-generation gpsOne GPS module, gpsOneXTRA Assistance, OpenGL ES 2.0, OpenGL ES 1.1, OpenVG 1.1, EGL 1.3, Direct3D Mobile, SVGT 1.2, DirectDraw;;
Qualcomm;ESM;ESM7206A;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;528 MHz max.;;;;;;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Multi-slot Class 12 , EDGE (Class unspecified) , EDGE Multi-slot Class 12 data links;No;No;No;;No;Yes;;;;ARM9 coprocessor, Embedded QDSP4000 + QDSP5000 DSP, Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone;;
Qualcomm;MSM;MSM7501A;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;528 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;No;No;;No;Yes;;;;274MH ARM926EJ-S companion processor, ARM TrustZone technology, Embedded QDSP4000 or QDSP5000 DSP (CDMA2000 1X Rel. 0 / Rev. A, CDMA2000 1xEV-DO Rel. 0 / Rev. A, quadband GSM, GPRS Class 10 baseband), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone;;
Qualcomm;MSM;MSM7500A;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;528 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;No;No;;No;GPS (NMEA 0183);;;;274MH ARM926EJ-S companion processor, ARM TrustZone technology, Embedded QDSP4000 or QDSP5000 DSP (CDMA2000 1X Rel. 0 / Rev. A, CDMA2000 1xEV-DO Rel. 0 / Rev. A, quadband GSM, GPRS Class 10 baseband), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone;;
Qualcomm;MSM;MSM7201;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;528 MHz max.;;;;;;;;;;8 pipeline stages;;90 nm;CMOS;;;TSMC;Qualcomm Adreno 130 GPU;;;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) data links;No;No;No;;No;Yes;;;;ARM9 coprocessor, Embedded QDSP4000 and QDSP5000 DSP (GSM, GPRS/EGPRS Multislot Class 12, EDGE, UMTS/WCDMA, HSDPA, HSUPA, MBMS baseband), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone, Adreno 130 GPU, OpenGL ES 1.1, OpenVG 1.1, EGL 1.3, Direct3D Mobile, SVGT 1.2, Direct Draw, GDI;;
Qualcomm;MSM;MSM7201A;;2008;Application Processor with Modem;32 bit;ARMv6;ARM1136EJ-S;1;Yes;;32 bit;;1 ch;;Yes;;;528 MHz max.;;;;;;;;;;8 pipeline stages;;65 nm;CMOS;;;TSMC;Qualcomm Adreno 130 GPU;;;;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , EDGE Multi-slot Class 12 , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) data links;No;No;No;;No;Yes;;;;ARM9 coprocessor, Embedded QDSP4000 and QDSP5000 DSP (GSM, GPRS/EGPRS Multislot Class 12, EDGE, UMTS/WCDMA, HSDPA, HSUPA, MBMS baseband), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone, Adreno 130 GPU, OpenGL ES 1.1, OpenVG 1.1, EGL 1.3, Direct3D Mobile, SVGT 1.2, Direct Draw, GDI;;
Qualcomm;MSM;MSM7850;;2008;Application Processor with Modem;32 bit;ARMv6;ARM11;1;Yes;;;;1 ch;;Yes;;;1000 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;8 pipeline stages;;45 nm;CMOS;;;TSMC;N/A;;;;CSD 9.6 kbps , GPRS (Class unspecified) , GPRS Class 10 , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A data links;No;No;No;;No;Yes;;;;256MHz ARM926EJ-S companion processor, ARM TrustZone technology, Embedded QDSP4000 or QDSP5000 DSP (CDMA2000 1X Rel. 0 / Rev. A, CDMA2000 1xEV-DO Rel. 0 / Rev. A, quadband GSM, GPRS Class 10 baseband), Embedded gpsOne GPS module, Qcamera, Qtv, Qcamcorder, Qvideophone;;
Samsung;;S3C2450;;2008;Application Processor;32 bit;ARMv4T;ARM926EJ;1;mobile (LP) DDR SDRAM;;32 bit;;1 ch;;moviNAND , NAND Flash Interface;8 ch;400 MHz min.;533 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;65 nm;CMOS;;400 pins;Samsung;N/A;;;;No;No;No;No;;No;No;;;;64KB internal general purpose SRAM, 32KB internal ROM for moviNAND booting, 2D graphics accelerator, 8-channel DMAs with external request pins;;
Samsung;;S3C6410;;2008;Application Processor;32 bit;ARMv6;ARM1176JZF-S;1;Yes;;32 bit;;1 ch;;Yes;32 ch;533 MHz min.;800 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;8 pipeline stages;;65 nm;CMOS;;424 pins;Samsung;N/A;;;;No;No;No;No;;No;No;;;;16/16KB I/D TCM, 2D/3D Graphics Acceleration (OpenGL ES 1.1/2.0), ARM TrustZone, AHB/AXI bus, Instruction and Data Memory Management Units, 32KB secure boot ROM;;
SiRF;;SiRFprima;;2008;Application Processor;32 bit;ARMv6;ARM1136JF-S;1;Yes;;64 bit;;1 ch;16 bit;NAND Flash Interface;16 ch;600 MHz min.;N/A;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;128 Kbyte L2;;;8 pipeline stages;;65 nm;CMOS;;;;N/A;;;;No;No;No;No;;No;Yes;Yes;;;VFPU, MMU, 16 channels DMA, Mobile-SDR, Mobile-DDR, DDR1 support, AMBA 2.0 AHB, ARM Jazelle, integrated 64 channels GPS / Galileo module, SiRFInstantFixII, SiRFInstantFix,SiRFDiRect, OpenGL ES 1.1 support;;
STMicroelectronics;Nomadik;Nomadik STn8820;;2008;Application Processor;32 bit;ARMv6;ARM1176JZF;1;Yes;;32 bit;;1 ch;;No;;;528 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;256 Kbyte L2;;;8 pipeline stages;;;CMOS;;516 pins;;N/A;;;;No;No;No;No;;No;No;;;;128 Kbyte ROM, 3D graphics accelerator;;
STMicroelectronics;Nomadik;Nomadik STn8815A12;;2008;Application Processor;32 bit;ARMv5TEJ;ARM926EJ-S;1;Yes;;16 bit;;1 ch;;No;;;393 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;128 Kbyte L2;;;;;;CMOS;;324 pins;;N/A;;;;No;No;No;No;;No;No;;;;3Mbit frame buffer, MMU, 32 Kbytes of public ROM (for boot purposes), 64 Kbytes of secured ROM (for security purposes), 512 Kbytes of public RAM, 16 Kbytes of secured RAM (for security code and/or data), 1 Kbyte backup.;;
STMicroelectronics;Nomadik;Nomadik STn8815A9;;2008;Application Processor;32 bit;ARMv5TEJ;ARM926EJ-S;1;Yes;;16 bit;;1 ch;;No;;;393 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;128 Kbyte L2;;;;;;CMOS;;329 pins;;N/A;;;;No;No;No;No;;No;No;;;;3Mbit frame buffer, MMU, 32 Kbytes of public ROM (for boot purposes), 64 Kbytes of secured ROM (for security purposes), 512 Kbytes of public RAM, 16 Kbytes of secured RAM (for security code and/or data), 1 Kbyte backup.;;
STMicroelectronics;Nomadik;Nomadik STn8815P14;;2008;Application Processor;32 bit;ARMv5TEJ;ARM926EJ-S;1;Yes;;16 bit;;1 ch;;No;;;393 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;128 Kbyte L2;;;;;;CMOS;;464 pins;;N/A;;;;No;No;No;No;;No;No;;;;3Mbit frame buffer, MMU, 32 Kbytes of public ROM (for boot purposes), 64 Kbytes of secured ROM (for security purposes), 512 Kbytes of public RAM, 16 Kbytes of secured RAM (for security code and/or data), 1 Kbyte backup.;;
Texas Instruments;OMAP;OMAP 3440;;2008;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;800 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;65 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2+), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3420;;2008;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;600 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;65 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (5MP camera support), 2D/3D graphics acceleration (IVA 2), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA 16M-color (24-bit definition) display support, High Speed USB 2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3410;;2008;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;600 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;65 nm;CMOS;;515 pins;Texas Instruments;N/A;;;;No;No;No;No;;No;No;;;;Embedded image signal processor (3MP camera support), 2D/3D graphics acceleration (IVA 2), SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB 2.0 On-The-Go support;;
Texas Instruments;OMAP;OMAP 3430;;2008;Application Processor;32 bit;ARMv7;ARM Cortex-A8;1;Yes;;32 bit;;1 ch;;Yes;;;600 MHz max.;;32 Kbyte I-Cache;;;32 Kbyte D-Cache;;;;;13 pipeline stages;;65 nm;CMOS;;515 pins;Texas Instruments;IMG PowerVR SGX530 GPU;1-core GPU;;;No;No;No;No;;No;No;;;;Embedded 430MHz TI TMS320C64x DSP, Embedded image signal processor (12MP camera support), 2D/3D graphics acceleration (IVA 2+), OpenGL ES 1.1, OpenGL ES 2.0, OpenVG, SmartReflex technologies, M-shield mobile security, ARM TrustZone, Composite and S-video TV output, XGA/WXGA 16M-color (24-bit definition) display support, High Speed USB 2.0 On-The-Go support;;
RMI;Alchemy;Alchemy Au1250;;2007;Application Processor;32 bit;MIPS32;MIPS32;1;DDR SDRAM;;32 bit;;1 ch;16 bit;Yes;;333 MHz min.;700 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;;CMOS;;;;;;;;;;;;;No;No;No;No;No;High-speed multiply-accumulate (MAC) and divide unit, LCD Controller, IDE interface, Camera Interface Module, AES-128 Cryptography;;
RMI;Alchemy;Alchemy Au1200;;2007;Application Processor;32 bit;MIPS32;MIPS32;1;DDR SDRAM;;32 bit;;1 ch;16 bit;Yes;;333 MHz min.;500 MHz max.;;16 Kbyte I-Cache;;;16 Kbyte D-Cache;;;;;;;;CMOS;;372 pins;;;;;;;;;;;No;No;No;No;No;High-speed multiply-accumulate (MAC) and divide unit, LCD Controller, IDE interface, Camera Interface Module, AES-128 Cryptography;;
